name,year,typed_total,top_virus,top_cases,second_cases,top_share,dominance_gap
庐江县,2011,4,Mixed,2,2,0.5,0
庐江县,2012,20,EV71,10,7,0.5,3
庐江县,2013,44,EV71,24,13,0.5454545454545454,11
庐江县,2014,38,EV71,24,9,0.631578947368421,15
庐江县,2015,41,Others,28,13,0.6829268292682927,15
庐江县,2016,30,Others,13,11,0.43333333333333335,2
庐江县,2017,47,Others,26,19,0.5531914893617021,7
庐江县,2018,49,Others,29,20,0.5918367346938775,9
庐江县,2019,83,Others,46,37,0.5542168674698795,9
庐江县,2020,35,Others,24,11,0.6857142857142857,13
庐江县,2021,93,Others,49,44,0.5268817204301075,5
庐江县,2022,29,Others,25,2,0.8620689655172413,23
庐江县,2023,61,Others,61,0,1,61
庐阳区,2008,2,EV71,2,0,1,2
庐阳区,2009,33,EV71,23,9,0.696969696969697,14
庐阳区,2010,14,EV71,9,5,0.6428571428571429,4
庐阳区,2011,1,EV71,1,0,1,1
庐阳区,2012,10,CV-A16,5,4,0.5,1
庐阳区,2013,8,Mixed,4,4,0.5,0
庐阳区,2014,11,EV71,7,4,0.6363636363636364,3
庐阳区,2015,18,Others,10,5,0.5555555555555556,5
庐阳区,2016,26,CV-A16,10,9,0.38461538461538464,1
庐阳区,2017,14,Others,11,2,0.7857142857142857,9
庐阳区,2018,16,Others,14,2,0.875,12
庐阳区,2019,13,Others,10,3,0.7692307692307693,7
庐阳区,2020,26,Others,26,0,1,26
庐阳区,2021,22,Others,13,9,0.5909090909090909,4
庐阳区,2022,18,Others,12,6,0.6666666666666666,6
庐阳区,2023,56,Others,54,2,0.9642857142857143,52
弋江区,2009,27,CV-A16,14,13,0.5185185185185185,1
弋江区,2010,22,CV-A16,15,4,0.6818181818181818,11
弋江区,2011,46,EV71,39,4,0.8478260869565217,35
弋江区,2012,36,CV-A16,16,11,0.4444444444444444,5
弋江区,2013,46,EV71,36,9,0.782608695652174,27
弋江区,2014,75,CV-A16,55,12,0.7333333333333333,43
弋江区,2015,65,Others,30,29,0.46153846153846156,1
弋江区,2016,93,CV-A16,36,33,0.3870967741935484,3
弋江区,2017,93,Others,75,11,0.8064516129032258,64
弋江区,2018,161,Others,133,23,0.8260869565217391,110
弋江区,2019,129,CV-A16,102,27,0.7906976744186046,75
弋江区,2020,76,Others,76,0,1,76
弋江区,2021,107,Others,101,6,0.9439252336448598,95
弋江区,2022,43,Others,24,19,0.5581395348837209,5
弋江区,2023,107,Others,97,10,0.9065420560747663,87
当涂县,2010,78,CV-A16,57,16,0.7307692307692307,41
当涂县,2011,124,EV71,85,28,0.6854838709677419,57
当涂县,2012,22,CV-A16,10,7,0.45454545454545453,3
当涂县,2013,95,Others,64,26,0.6736842105263158,38
当涂县,2014,59,CV-A16,31,21,0.5254237288135594,10
当涂县,2015,58,Others,36,18,0.6206896551724138,18
当涂县,2016,61,Others,27,24,0.4426229508196721,3
当涂县,2017,56,Others,30,24,0.5357142857142857,6
当涂县,2018,72,Others,65,4,0.9027777777777778,61
当涂县,2019,59,CV-A16,50,9,0.847457627118644,41
当涂县,2020,90,Others,90,0,1,90
当涂县,2021,74,Others,74,0,1,74
当涂县,2022,18,CV-A16,10,8,0.5555555555555556,2
当涂县,2023,128,CV-A16,79,49,0.6171875,30
徽州区,2010,20,CV-A16,13,7,0.65,6
徽州区,2011,5,EV71,5,0,1,5
徽州区,2012,5,EV71,3,2,0.6,1
徽州区,2013,10,Others,6,4,0.6,2
徽州区,2014,14,Mixed,6,6,0.42857142857142855,0
徽州区,2015,27,Others,14,12,0.5185185185185185,2
